Baustein_ID,Baustein_Titel,Baustein_Typ,Baustein_Prio,Baustein_von,Baustein_bis,Baustein_Zeitvon,Baustein_Zeitbis,Sensor_Nr,Sensor_Min,Sensor_Max,Min_vergangenseitmessung,zufallszahl_set,zufallszahl_position,Baustein_Text,Baustein_Vorspann,Baustein_Abspann,Baustein_Quelle,bild_name,bild_bu,bild_credit
1,"Wüst und leer",textr,0,1,5,,,0,0,0,0,1,1,"Am Anfang war das Becken wüst und leer.",,,,,,
2,"Rückkehr ins kleine Becken am Rande des Schreibtischs",textr,0,1,60,,,0,0,0,0,1,2,"Bewegte Tage im kleinen Becken am Rande des Schreibtischs.",,,,,,
3,"Ein gewöhnlicher Tag?",textr,0,1,60,,,0,0,0,0,1,3,"Es begann als ganz normaler Tag im Aquarium.",,,,,,
4,"Tag der Entscheidung",textr,0,1,60,,,0,0,0,0,1,4,"Tag der Entscheidung in der Ursuppe.",,,,,,
5,,head,0,1,60,,,1,21,24,0,1,1,"Perfekte Temperatur im Becken!",,,,,,
6,,text,0,1,60,,,1,21,24,0,1,1,"Die Urzeitkrebse fühlen sich sichtlich wohl. Es herrscht optimale Temperatur in der künstlichen Pfütze, die nun ihre Heimat ist. In der Webcam tummeln sich die Tiere.",,,,,,
7,,text,0,1,60,,,1,0,20,0,1,1,"Das Wasser könnte etwas wärmer sein für einen Krebs. Da die Krebse ihre Temperatur nicht selbst regulieren können, bewegen sie sich langsamer.",,,,,,
8,,head,0,1,60,,,1,0,20,0,1,1,"Etwas kalt",,,,,,
9,,head,0,1,60,,,1,30,40,0,1,1,"Es ist zu warm!",,,,,,
10,,text,0,1,60,,,1,30,40,0,1,1,"Das Wasser im Becken ist gerade  etwas zu warm. Wahrscheinlich hat die Sonne die künstliche Pfütze erhitzt. Die Krebse lieben es eher kühler. Wenn die Temperatur nicht stimmt, pflanzen sie sich nicht fort. ",,,,,,
11,,head,0,1,60,,,1,30,40,0,1,1,"Droht der Hitzetod?",,,,,,
12,,text,0,1,60,,,1,30,40,0,1,1,"Die Urzeitkrebse fühlen sich nicht so wohl. Das Wasser ist viel zu warm. Aus unerklärlichen Gründen hat sich das Wasser viel zu sehr aufgeheizt. Droht den Tieren jetzt der Hitzetod?","Es ist brüllend heiß!","Was wird der morgige Tag bringen? Wird das Wasser abkühlen?",,,,
13,,text,0,1,60,,,2,21,24,0,1,1,"Optimaler Wasserstand im Becken!",,,,,,
14,,text,0,1,60,,,2,21,24,0,1,1,"Die Urzeitkrebse fühlen sich wohl. Im Becken ist genug Wasser. Was im Aquarium selbtverständlich klingt, ist im natürlichen Lebensraum, der Pfütze, nur eine Frage der Zeitt. Wenn das Wasser weniger wird muss ein Triops sich gepaart haben und Eier abgelegt haben. ",,,,,,
15,,text,0,1,60,,,2,3,20,0,1,1,"Das Wasser könnte etwas höher sein.",,,,,,
16,,head,0,1,60,,,7,30,40,0,1,1,"Es ist zu viel Wasser!",,,,,,
17,,text,0,1,60,,,2,30,40,0,1,1,"Die Urzeitkrebse fühlen sich nicht so wohl. Das Wasser ist etwas zu viel.Droht das Überschwappen?",,,,,,
18,,head,0,1,60,,,2,21,24,0,1,1,"Optimale Helligkeit im Becken!",,,,,,
19,,text,0,1,60,,,2,21,24,0,1,1,"Die Urzeitkrebse sonnen sich. Es ist hell.",,,,,,
20,,head,0,1,60,,,2,0,20,0,1,1,"Sehnsucht nach Licht!",,,,,,
21,,text,0,1,60,,,2,0,20,0,1,1,"Die Urzeitkrebse sind schlapp. Es könnte etwas heller sein.",,,,,,
22,,head,0,1,60,,,2,30,40,0,1,1,"Die künstliche Sonne brennt",,,,,,
23,,text,0,1,60,,,2,30,40,0,1,1,"Die Urzeitkrebse sind geblendet. Das Licht ist etwas zu hell",,,,,,
24,"Wie kommen die Krebse aufs YPS-Heft?",text,0,1,5,,,0,0,0,0,1,1,"Wir müssen über YPS reden. Das Heft mit den Gimmicks machte Artemia als die Urzeitkrebse bekannt. Zumindest in Deutschland. Vor YPS war nämlich Harold Nathan Braunhut. Braunhut wird uns öfter begegnen in den nächsten Tagen. Er war Händler, der in den 50er Jahren bunte Anzeigen in amerikanischen Comicheften schaltete, in denen er anbot, was heute unter der Gattung »Gadget« firmiert. »Sieh die Finger Deiner Hand, sieh durch Kleidung hindurch« war der Werbespruch seines zweiterfolgreichesten Gadgets. Braunhut hatte es erfunden. Es war eine Laserbrille, Patentnummer 3592533. Tatsächlich bestand hatte die Brille statt Gläsern eine doppellagige Schicht Pappe, in die ein winziges Loch gestanzt war. Zwischen den Schichten war eine Feder angebracht, die den Blick so verwischte, dass es tatsächlich fast wie eine Röntgenaufnahme aussah. Nur gebrochene Knochen konnte man nicht sehen. Und natürlich auch nichts, was unter der Kleidung war. So ein Typ war Braunhut. Das muss man wissen. Doch seinen Nachruf in der New York Times und seinen Wikipedia-Eintrag verdankt Braunhut etwas anderem: Den Urzeitkrebsen. Das klingt komisch bei einem Lebewesen, aber Braunhut war Erfinder der Urzeitkrebse. Das erste Spielzeug, das das Kind zum Schöpfer macht.Da nannte er sich schon Harold VON Braunhut, das klang so schön deutsch. Braunhut also erkannte, dass in den Krebsen mehr steckte, als praktisches Aquarienfutter. Braunhut machte die Idee reich. Für die Krebse war das nicht nur ein Segen. Seitdem standen sie in Einmachgläsern in Millionen Kinderzimmern. Sie endeten in der Toilette oder vorzeitig, weil das Taschengeld für das nächste Heft mit dem Futter nicht reichte. (So von Zeichner Flix geschildert im Film ""Akte Y""). Noch heute hängen die Krebse manchmal an bunten Heften, an Micky Maus oder YPS-Widergängern.",,,https://www.youtube.com/watch?v=JoKPtWu498o,yps0025.jpg,"Die ersten deutschen Krebse: Yps Heft Nr. 25 von 1975.",Gruner+Jahr
25,,text,0,3,6,,,0,0,0,0,1,1,"Bei den jungen Krebsen ist die Anpassung an den Lebensraum schon gut erkennbar. Sie haben große Ruderorgane. Sie fressen Zooplankton, kleine tierische Planktonlebewesen. Erst später werden noch Borsten wachsen und sie zu noch schnelleren Schwimmern machen.",,,,,,
26,"Leben im Dreckwasser",text,0,6,9,,,0,0,0,0,1,1,"Die Urzeitkrebse könnten im Meer überleben. Sie sind aber keine Meerestiere. Sie kommen in salzhaltigen Binnengewässern vor, zum Beispiel in Salzseen und Salinen, aber auch in Solebecken zur Salzproduktion. Typisches Beispiel ist der Salt Lake in den USA. In seinem Wasser befinden sich 25-27 Prozent Salz. Er ist an der tiefsten Stelle nur acht Meter tief, dafür bis zu 6.000 Quadratkilometer groß. (Ein Paradies für YPS-Fans.)",,,,,,
27,"Sie Schlüpfen",text,0,1,5,,,0,0,0,0,1,1,"Wenn Triops schlüpfen, sind sie 0,2 Millimeter groß. Sie sind so genannte Naupilien.","Die ersten winzigen Triops schlüpfen.","Wie wird es den kleinen Krebsen ergehen? Das werden die kommenden Wochen in dieser Live-Reportage zeigen.",,,,
28,"Allgemeine Vorstellung Triops",text,0,1,7,,,0,0,0,0,1,1,"In den folgenden Wochen sind sie die Hauptakteure: Triops longicaudatus. Noch sind sie kaum von den Schwebteilchen des Wassers zu unterscheiden. Triops longicaudatus ist ein vor allem aus Amerika bekannter Vertreter der Niederen Krebse. Die Vorfahren der Triops haben bereits zu die Salzpfützen zu Zeiten der Dinosaurier bevölkert. Doch noch immer rätseln die Forscher, ob es sich um eine Art oder um mehrere Arten handelt.",,"Triops longicaudatus – voller wissenschaftlicher Rätsel, die in den nächsten Wochen in dieser Live Reportage behandelt werden.",,,,
29,"Der Sehsinn",text,0,7,16,,,0,0,0,0,1,1,"Es sind zwar drei, aber keine Adleraugen. Der Triops besitzt drei Augen. Sie sind in einem Dreieck auf der Kopfoberseite angeordnet. ""Dreyauge"" heißt die Gattung. Zu den zwei ungestielten Komplexaugen mit jeweils etwa 250 Chitinfacetten tritt das mittig angeordnete unpaarige Naupliusauge hinzu, ein nicht-zusammengesetztes oder -fazettiertes Einfachauge (Ocellus), das als Lichtsinnesorgan zur Hell/Dunkel-Unterscheidung dient. Die Sehfeldgröße erinnert an Comodore-Zeiten: 2 x 16 x 16 Bildpunkten hat Triops longicaudatus zur Verfügung. Und damit ein vergleichsweise eingeschränktes Sehvermögen.","Mit wenigen Pixeln durch die Zeit: Wie die Triopse mit ziemlich niedriger Auflösung die Welt erfassen.","In den nächsten Wochen werden sie diese Reportage steuern. Und so werden wir wenigstens indirekt erfahren, wie Triops die Welt sehen.",,,,
30,"Der Mund",text,0,17,24,,,0,0,0,0,1,1," An der Körperunterseite befinden sich am Kopf die Mundwerkzeuge und an jedem der 35 bis 44 Segmente des Pereions je ein Paar blattförmiger Beine (Blattbeine), zwischen denen eine tiefe zentrale Nahrungsrinne verläuft. Diese gelenklosen Brustbeine (Pereiopoden) sind Multi-multi-Beine: Sie erfüllen verschiedene Aufgaben: Neben dem Schwimmen, Laufen und Graben dienen sie gleichzeitig auch der Filterung von Nahrungspartikeln und der Atmung.",,,,,,
31,"Der Merkwürdige Monsieur Le Conte",text,0,25,30,,,0,0,0,0,1,1,"Zeit über John Lawrence Le Conte zu sprechen. Er ist in der Geschichte der Triops unverzichtbar.  Er nahm sich im Jahr 1846 Zeit, die merkwürdigen Viecher wissenschaftlich zu beschreiben: Unter dem wundervollen Gattungsnamen Apus („fußlos“). Leider hatte Le Conte kein Internet. Sonst hätte er gesehen, dass Giovanni Antonio Scopoli schon 1777 auf die Idee gekommen war, eine Gattung Apus zu nennen: eine Vogelgattung, genauer eine Segler-Gattung. Ein wissenschaftlicher Faux-Pas. Doch die Doppelbenennung hielt immerhin 159 Jahre. So waren die Apus-Krebse ihren schönen Namen im Jahr 1955 wieder los, um Verwechslungen zu vermeiden. Fortan hießen sie: Triops.","Eine Begegnung mit dem Entdecker der Triops.","Was hätte Urzeitkrebs-Forscher John Lawrence Le Conte zum Ursuppen-Experiment gesagt? Wahrscheinlich hätte er es gemocht.",,John_Lawrence_Le_Conte.jpg,"Der amerikanische Entmologe John Lawrence Le Conte.","Wikimedia Commons/gemeinfrei"
32,"Lebensraum Pfütze",text,0,20,40,,,4,0,0,0,1,1,"Die Branchiopoden stammen, jedenfalls ist nichts Gegenteiliges bekannt, aus dem Meer, der älteste Vertreter ist aus den mehr als 500 Millionen Jahre alten marinen Ablagerungen des Oberen Kambriums bekannt. Als etwa 200 Millionen. Jahre später, im Devon, erst im Meer, dann auch im Süßwasser, die ersten Fische lebten, überdauerten die Urzeitkrebse nur in für Fische ungünstigen Extrembiotopen wie Salzseen und vor allem in den sich nur kurz bildenden Gewässern des Binnenlandes: Pfützen. Und wer sich auf das Leben in diesen matschigen Mini-Kurzzeit-Seen spezialisiert hat, der muss schon ziemlich tough sein. Die besten Pfützen sind die Exemplarisch dafür sind die „vernal pools“ in der Sierra Nevada. Fragen Sie mal einen Triops! Die Pools entstehen im Frühling nach der Schneeschmelze.Wenn die Flüsse über die Ufer treten, bilden sie sich. In den Pools bleibt das Wasser oft nur Wochen stehen. Die Triops-Eier sind meist noch im Boden. Wenn das Wasser kommt, müssen sie sich sputen. Weil die Pfützen schnell wieder weg sind,ist das der Grund, warum die Triops so schnell wachsen.","Und eine Betrachtung vom Leben in der Pfütze.","Wenn Sie das nächste mal in eine Pfütze treten, winken Sie mit dem großen Zeh den Triops.",,,,
33,"Evolutionsverächter",text,0,45,50,,,0,0,0,0,1,1,"Eins fehlt den Triops seit Jahrmillionen: Fressfeinde. Weil es in ihrer ökologischen Nische, der salzigen Pfütze, keine Fressfeinde gab und auch niemanden, der sich mit ihnen um den Pfützenschmodder als Nahrung stritt,fehlten zwei Antriebe, die sonst das Leben formen – zwei Antriebe für Evolution.Ohne Selektionsdruck blieben die Urzeitkrebse, wie sie waren, genau wie die Pfützen, in denen sie lebten und die ja auch Pfützen blieben, wie schon die Dinosaurier in welche hineingetreten waren.So bewahrten sich die Triops vorallem auch im Vergleich zu anderen Krebsen eine Reihe urtümlicher Merkmale: Die große Anzahl der Häutungen, nach denen sie ungeschützt wich sind, das dritte Auge, das andere Krebse beim Erwachsenwerden verlieren.",,,,,,
34,"Hitze lässt Sauerstoff knapp werden",text,0,20,30,,,1,28,60,0,1,1,"Sehen Sie die Triops Rückenschwimmen? Das könnte an der Temperatur liegen. Denn das Wasser ist heute so heiß, dass nur wenig Sauerstoff gelöst ist. Nicht, dass Triops sio anspruchsvoll wäre. Triops longicaudatus stellt sehr, sehr, sehr geringe Ansprüche an den Sauerstoffgehalt seiner Pfütze. Ein Milligramm gelöster Sauerstoff pro Liter reicht ihm. Wenn es weniger wird, kommt er zum Atmen an die Oberfläche. (Zur Nahrungssuche machen sie das aber manchmal auch.)","Das Geheimnis des Rückenschwimmens wird gelüftet.","Hoffentlich wird es morgen kühler und die Triops können wieder richtig herum schwimmen.",,,,
35,"Die Pfütze ist voll: Kanibalismus",text,0,50,60,,,0,0,0,0,1,1,"Ein Triops mag weiche tierische Kost. Selbst Kaulquappen verspeist er. Und wenn der Platz in der Pfütze oder im Becken zu knapp wird, macht er auch vor Kannibalismus nicht halt. Besonders frisch gehäutete Artgenossen sind in Gefahr. Hier rächt sich der jahrmillionen ausgebliebene Selektionsdruck von fremden Arten. Triops-Forscher verteidigen das Verhalten, es diene der natürlichen Bestandsregulierung. Hier gibt es lieber noch ein paar Algen extra.",,,,,,
36,Bedrohung,text,0,45,50,,,0,0,0,0,1,1,"Menschen mögen keine Pfützen. Und so geht das Zeitalter der Pfützen zu Ende.  Triops sind bedroht.Nach jahrmillionen auf der Erde gibt es immer weniger Lebensraum. In Marchegg in Niederösterreich wurde 1982 auf Initiative des dortigen Naturschutzbundes das weltweit erste Schutzgebiet für
Urzeitkrebse geschaffen. Dort können sie die Zeit überstehen.",,"Erst wenn die letzte Pfütze trocken ist, werdet ihr merken, dass YPS-Hefte nicht schwimmen können. ",http://homepage.univie.ac.at/erich.eder/UZK/uL_newsletter23_urzeitkrebse_noe.pdf,,,
37,"Vinzenz Kollar 1821",text,0,20,25,,,0,0,0,0,1,1,"Außerirdische? Das könnte man denken. Die Triops tauchen so plötzlich auf, wie sie verschwinden. So blieben sie lange unbeachtet. Eine der ersten Notizen finden sich im 19. Jahrhundert. In Wien hatte es stak geregnet. Der Wiener Zoologe Vinzenz Kollar notierte 1821 die Beobachtung der ""seltsame[n] Thiere”, die anscheinend vom Himmel gefallen waren. Er untersuchte die Tiere und stellte fest, dass es um krebse, nicht um Außerirdische handelte. Die Eier von Triops cancriformis mussten Jahrzehnte im Lehm der Wiener Straßen unbeschadet überlebt haben.","Außerdem heute: Ein Wiener Biologe glaubt nicht an Aliens.",,http://www.urzeitkrebse.org/,,,
38,"DER TEASER",teaser,0,1,60,,,0,0,0,0,1,1,"Ein Experiment in Sensorjournalismus. Ein Becken mit Urzeitkrebsen. Verdrahtet mit Sensoren. Die bestimmen, was Sie im folgenden lesen. Diese Reportage wird im Moment ihres Aufrufs für Sie live generiert.",,,,,,
39,"DER AUTOR",autor,0,1,60,,,0,0,0,0,1,1,"Text: Triops-Bot, Programmierung: Jakob Vicari",,,http://www.jakobvicari.de,,,
40,TWITTER,twitter,0,1,10,,,0,0,0,0,1,1,"Auch auf Twitter wird das Leben der Triops verfolgt. Unter dem Hashtag #ursuppe schreibt %!twitterer: %!tweet",,,www.twitter.com/vicari,,,
42,"Eine kurze Erklärung in eigener Sache",textr,0,4,57,,,0,0,1,0,3,1,"Eine kurze Erklärung zu diesem Text scheint angebracht: Alles was in diesem Text geschieht bestimmen die Triops. Sensoren erfassen was sie tun. Klar, ein Mensch hat vorher Sätze formuliert. Aber kein Journalist, nein ein Roboterjournalist setzt den Text so zusammen, wie Sie ihn hier lesen – immer wieder neu, minütlich aktualisiert. Seit %!tag Tagen (und in den nächsten %!resttag Tagen) können Sie hier erfahren, was im Becken passiert. Auch Sie können Einfluss nehmen! Zum Beispiel, indem Sie unter dem Hashtag #ursuppe twittern. Dann kann auch ihr Tweet Teil der Erzählung von der Ursuppe werden. Aber jetzt zurück zu den Triops.",,,,,,
43,"Einige Daten",text,1,1,60,,,0,0,0,0,1,1,"Es ist der %!tag. Tag des Experiments. Die Temperatur im Becken beträgt %!temp, der Wasserstand liegt bei %!fuell, die Helligkeit bei Stufe %!licht (von 30).",,,,,,
44,"Was passiert hier",textr,0,4,57,,,0,0,2,0,3,2,"Was passiert hier eigentlich? Dieser Text ist ein neues Format: Eine Live-Reportage. Was Sie hier lesen steuern die Triops und die Zeit. Schon in der nächsten Minute hat sich dieser Artikel verändert: Drücken Sie im Browser auf Refresh. Denn ein Roboterjournalist beobachtet das Becken der Triops. Und  setzt den Text live zusammen, wie Sie ihn hier lesen. In den nächsten %!resttag Tagen gibt es hier viel zu entdecken.Sensoren können das menschliche Auge nicht ersetzen. Beobachten Sie die Live-Webcam! Wenn Sie im Becken ein seltsames Verhalten der Triops sehen oder ein UWO, ein unbekanntes Wasserobjekt, entdecken, teilen Sie es unter Twitter mit! Ihr Tweet wird Teil dieses Experiments! Der Hashtag lautet #ursuppe.",,"Und jetzt: Gehen Sie auf UWO-Jagd (Hashtag #ursuppe)!",http://www.aquaristika.de/Unbekannte-Tierchen-im-Aquarium.html,,,
45,"Dieser Text ist Teil des Experiments",textr,0,4,58,,,0,0,3,0,3,3,"Ich darf Ihnen verraten: So einen Text wie diesen haben Sie wahrscheinlich noch nie gelesen. Er ist Teil des Experiments. Denn einer der Autoren, ich!, ist ein Journalismusroboter. Das heißt: Die Sensoren überwachen die ganze Zeit das Triops-Becken (Temperatur aktuell immer noch: %!temp). Und ich, der Triops-Bot entscheide, was das in diesem Moment bedeutet und schreibe den Text um. 60 Tage läuft das Experiment und in den nächsten %!resttag Tagen gibt es hier viel zu entdecken.Auch Sie bestimmen den Text mit! Denn Kollege Roboter beobachtet auch Twitter. Was Sie unter dem Hashtag #ursuppe teilen könnte schon in wenigen Minuten Teil dieses Textes hier werden.",,,,,,
46,"Von Viechern im Zeitloch",text,0,50,60,,,0,0,0,0,1,1,"Allmählich, nach %!tag Tagen Triops-Berichterstattung, mag sich der eine oder andere an den Quastenflossler erinnert fühlen. Dieser Fisch gilt als das lebende Fossil schlechthin. Bis ins Jahr 1938 ging die Wissenschaft davon aus, dass der Quastenflosser das Massenaussterben am Ende der Kreidezeit (vor 65 Millionen Jahren) nicht überstanden hatten. Marjorie Courtenay-Latimer, die Leiterin des Städtischen Meeresmuseums im südafrikanischen East London,  belehrte die Quastenflosslerforscher etwas besserem.Im Fang eines Fischdampfers entdeckte sie ein ziemlich frisches Exemplar: 1,50 Meter lang, stahlblau, 52 Kilogramm schwer. Und 1997 wurde sogar noch eine zweite Art entdeckt: vor der   indonesischen Insel Sulawesi. Die Meldung ging durch die Weltpresse.So ähnlich ging es auch mir. Natürlich haben die Triops mit dem Quastenflossler einiges gemein: Vor allem die ausgebliebene Evolution. Aber auch 220 Millionen Jahre gemeinsame Geschichte (ohne dass sie sich groß in die Quere gekommen sein dürften).",,,http://de.wikipedia.org/wiki/Quastenflosser,,,
